name	alt name	url	summary
Alyx Frey	Alyx Frey	/reference/k/00161/index.html	Only daughter of Symond Frey.
Amabel	Amabel	/reference/k/01222/index.html	A servant at Harrenhal.
Amarei Crakehall	Amarei Crakehall	/reference/k/00077/index.html	Third wife of Lord Walder Frey.
Ambrode	Ambrode	/reference/k/02861/index.html	An ironman shipwright.
Ambrose, Edmund	Edmund Ambrose	/reference/k/02297/index.html	A knight.
Amerei Frey	Amerei Frey	/reference/k/00162/index.html	Called Ami. Eldest daughter of Merrett Frey.
Amory Lorch	Amory Lorch	/reference/k/00341/index.html	A knight of the Westerlands.
Andar Royce	Andar Royce	/reference/k/00443/index.html	Eldest son of Lord Yohn Royce.
Anders Yronwood	Anders Yronwood	/reference/k/02076/index.html	Lord of Yronwood, Warden of the Stone Way, and the Bloodroyal.
Andrew Estermont	Andrew Estermont	/reference/k/00114/index.html	Son of Lomas Estermont.
Andrey Charlton	Andrey Charlton	/reference/k/01224/index.html	A knight of the Riverlands.
Andrey Dalt	Andrey Dalt	/reference/k/02431/index.html	Called Drey. A knight and brother of Ser Dezial Dalt.
Andrik	Andrik	/reference/k/01820/index.html	Called Andrik the Unsmiling.  An ironman warrior in service to House Drumm.
Andros Brax	Andros Brax	/reference/k/00040/index.html	Lord of Hornvale.
Androw Ashford	Androw Ashford	/reference/k/00007/index.html	A knight and member of House Ashford. Unhorsed by Tybolt Lannister during a tourney at Ashford Meadow.
Androw Frey	Androw Frey	/reference/k/00163/index.html	Son of Ser Arwood Frey.
Anguy	Anguy	/reference/k/00694/index.html	Called Archer. A boy from the Dornish Marches.
Annara Farring	Annara Farring	/reference/k/00121/index.html	Seventh wife of Lord Walder Frey.
Antario Jast	Antario Jast	/reference/k/00295/index.html	A lord of the Westerlands.
Antaryon, Ferrego	Ferrego Antaryon	/reference/k/02747/index.html	The Sealord of Braavos.
Anya Waynwood	Anya Waynwood	/reference/k/00695/index.html	Lady of Ironoaks Castle.
Ardrian Celtigar	Ardrian Celtigar	/reference/k/00064/index.html	Lord of Claw Isle.
Areo Hotah	Areo Hotah	/reference/k/00895/index.html	A sellsword and Captain of the Guard at Sunspear. He is from Norvos.
Argilac	Argilac	/reference/k/01225/index.html	Called the Arrogant. King of the Stormlands.
Arianne Martell	Arianne Martell	/reference/k/00364/index.html	Eldest daughter of Prince Doran Martell. Physical Description: She is short with long black hair that falls to the small of her back.
Arianne Tarth	Arianne Tarth	/reference/k/02533/index.html	Daughter of Lord Selwyn Tarth.
Arlan	Arlan	/reference/k/00696/index.html	Called Ser Arlan of Pennytree. A hedge knight.
Armen	Armen	/reference/k/02086/index.html	Called Armen the Acolyte. An acolyte of the Citadel. Physical Description: He has a long pointed nose.
Arneld	Arneld	/reference/k/01226/index.html	A knight.
Arnell	Arnell	/reference/k/01227/index.html	A knight and ranger of the Night's Watch.
Arnolf Karstark	Arnolf Karstark	/reference/k/02723/index.html	Uncle to Lord Rickard Karstark.
Aron Santagar	Aron Santagar	/reference/k/00469/index.html	Master-at-arms of the Red Keep.
Arrec	Arrec	/reference/k/01228/index.html	An old Storm King. Arrec lost the Riverlands to King Harwyn Hoare.
Arron	Arron	/reference/k/01999/index.html	A trainee of the Night's Watch.
Arron Qorgyle	Arron Qorgyle	/reference/k/00418/index.html	Second son of Lord Quentyn Qorgyle.
Arryk	Arryk	/reference/k/01229/index.html	A knight of the Kingsguard.
Arryk	Arryk	/reference/k/01230/index.html	Called Right. Personal guard to Olenna Tyrell.
Arryn, Denys	Denys Arryn	/reference/k/00003/index.html	A knight and cousin to Lord Jon Arryn.
Arryn, Elbert	Elbert Arryn	/reference/k/00004/index.html	Only son of Ronnel Arryn.
Arryn, Jasper	Jasper Arryn	/reference/k/01874/index.html	
Arryn, Jon	Jon Arryn	/reference/k/00005/index.html	Lord of the Eyrie, Lord Paramount of the Vale, Warden of the East, and Hand of the King to Robert Baratheon.
Arryn, Lord	Lord Arryn	/reference/k/02810/index.html	Lord of the Eyrie. His first name is never given.
Arryn, Robert	Robert Arryn	/reference/k/00006/index.html	Only son of Lord Jon Arryn.
Arryn, Ronnel	Ronnel Arryn	/reference/k/01875/index.html	Younger brother of Lord Jon Arryn.
Arryn, Rowena	Rowena Arryn	/reference/k/00831/index.html	Cousin and second wife of Lord Jon Arryn.
Arson	Arson	/reference/k/01231/index.html	Called Arson Iceaxe. A wildling raider.
Arstan	Arstan	/reference/k/02111/index.html	Squire to Belwas.
Arthur Ambrose	Arthur Ambrose	/reference/k/01232/index.html	A lord of the Reach.
Arthur Dayne	Arthur Dayne	/reference/k/00098/index.html	A knight of Aerys II Targaryen's Kingsguard.
Artos Stark	Artos Stark	/reference/k/01233/index.html	Called Artos the Implacable. Brother of Lord William Stark.
Artys Arryn	Artys Arryn	/reference/k/02622/index.html	The semi-legendary first Arryn king of the Vale.
Arwood Frey	Arwood Frey	/reference/k/00164/index.html	Only son of Ser Hosteen Frey.
Arwyn Frey	Arwyn Frey	/reference/k/00165/index.html	Sixth daughter of Lord Walder Frey.
Arwyn Oakheart	Arwyn Oakheart	/reference/k/00394/index.html	Lady of Old Oak.
Arya Stark	Arya Stark	/reference/k/00502/index.html	Younger daughter of Eddard Stark and Catelyn Tully.
Arys Oakheart	Arys Oakheart	/reference/k/00395/index.html	A knight of King Robert Baratheon's Kingsguard.
Asha Greyjoy	Asha Greyjoy	/reference/k/00257/index.html	Only daughter of Lord Balon Greyjoy and Lady Alannys Harlaw and captain of the Black Wind.
Ashara Dayne	Ashara Dayne	/reference/k/00099/index.html	Sister to Ser Arthur Dayne.
Ashford, Daughter	Daughter Ashford	/reference/k/00008/index.html	
Ashford, Lord	Lord Ashford	/reference/k/00009/index.html	
Ashford, Robert	Robert Ashford	/reference/k/00010/index.html	A knight and member of House Ashford.
Assadora	Assadora	/reference/k/02573/index.html	A whore at the Happy Port in Braavos.
Aubrey Ambrose	Aubrey Ambrose	/reference/k/02839/index.html	A knight.
Aurane Waters	Aurane Waters	/reference/k/00657/index.html	Called the Bastard of Driftmark. Bastard relation of Lord Monford Velaryon.
Axe, Mad	Mad Axe	/reference/k/01968/index.html	A semi-legendary member of the Night's Watch.
Axell Florent	Axell Florent	/reference/k/00128/index.html	Younger brother of Lord Alester Florent.
Ayrmidon	Ayrmidon	/reference/k/01234/index.html	A military scholar.
Azor Ahai	Azor Ahai	/reference/k/01238/index.html	A legendary hero.
Bael	Bael	/reference/k/01239/index.html	Called Bael the Bard.  King-beyond-the-Wall.
Baelish, Petyr	Petyr Baelish	/reference/k/00011/index.html	Master of Coin for King Robert Baratheon.
Baelor Blacktyde	Baelor Blacktyde	/reference/k/02252/index.html	Lord of Blacktyde.
Baelor Hightower	Baelor Hightower	/reference/k/01949/index.html	Called Baelor Brightsmile. A knight and eldest son of Lord Leyton Hightower.
Baelor I Targaryen	Baelor I Targaryen	/reference/k/00554/index.html	Called Baelor the Blessed. King of the Seven Kingdoms and head of House Targaryen from 161-171.
Baelor Targaryen	Baelor Targaryen	/reference/k/00553/index.html	Called Baelor the Bold and Baelor Breakspear.  Eldest son of King Daeron II Targaryen and Myriah Martell.
Balerion	Balerion	/reference/k/01787/index.html	One of the three dragons of Aegon the Conqueror.
Ball, Fireball	Fireball Ball	/reference/k/02833/index.html	A knight and master-at-arms of the Red Keep in the reign of Aegon IV Targaryen. He is a member of House Ball, but his first name is never given.
Ballabar	Ballabar	/reference/k/00697/index.html	Maester of the Arbor.
Balman Byrch	Balman Byrch	/reference/k/02050/index.html	A knight and member of House Byrch.
Balon Botley	Balon Botley	/reference/k/01938/index.html	
Balon Greyjoy	Balon Greyjoy	/reference/k/00258/index.html	Lord of the Iron Islands, Lord Reaper of Pyke, King of Rock and Salt, and Son of the Sea Wind.
Balon Swann	Balon Swann	/reference/k/00521/index.html	Younger son of Lord Gulian Swann.
Bandy	Bandy	/reference/k/01864/index.html	Daughter of Joseth.
Banefort, Quenten	Quenten Banefort	/reference/k/00012/index.html	Lord of the Banefort.
Bannen	Bannen	/reference/k/00698/index.html	A ranger of the Night's Watch.
Bar Emmon, Duram	Duram Bar Emmon	/reference/k/00108/index.html	Lord of Sharp point.
Baratheon, Gowen	Gowen Baratheon	/reference/k/01397/index.html	A member of House Baratheon.
Baratheon, Harbert	Harbert Baratheon	/reference/k/01413/index.html	Uncle to Lord Steffon Baratheon.
Baratheon, Joffrey	Joffrey Baratheon	/reference/k/00013/index.html	Elder son of King Robert Baratheon and Queen Cersei Lannister.
Baratheon, Lyonel	Lyonel Baratheon	/reference/k/00014/index.html	Fought on behalf of Duncan the Tall in a trial of seven at Ashford Meadow.
Baratheon, Myrcella	Myrcella Baratheon	/reference/k/00015/index.html	Only daughter of King Robert Baratheon and Cersei Lannister.
Baratheon, Orys	Orys Baratheon	/reference/k/01532/index.html	A former head of House Baratheon, the first lord of Storm's End, and the first lord paramount of the Stormlands.
Baratheon, Renly	Renly Baratheon	/reference/k/00016/index.html	Youngest brother of King Robert Baratheon and master of laws on his small council.
Baratheon, Robert	Robert Baratheon	/reference/k/00017/index.html	King of the Andals and the Rhoynar and the First Men, Lord of the Seven Kingdoms, and Protector of the Realm.
Baratheon, Shireen	Shireen Baratheon	/reference/k/00018/index.html	Only daughter of Lord Stannis Baratheon.
Baratheon, Stannis	Stannis Baratheon	/reference/k/00019/index.html	Younger brother of King Robert Baratheon and master of ships on his small council.
Baratheon, Steffon	Steffon Baratheon	/reference/k/00020/index.html	Lord of Storm's End.
Baratheon, Tommen	Tommen Baratheon	/reference/k/00021/index.html	Younger son of King Robert Baratheon and Cersei Lannister.
Barba Bracken	Barba Bracken	/reference/k/02306/index.html	
Barbrey Ryswell	Barbrey Ryswell	/reference/k/02728/index.html	Widow of Lord William Dustin and Lady of Barrowton.
Barra	Barra	/reference/k/00699/index.html	A bastard daughter of Robert Baratheon.
Barre	Barre	/reference/k/01240/index.html	Septon of Dragonstone.
Barristan Selmy	Barristan Selmy	/reference/k/00481/index.html	Called Barristan the Bold. A knight of Jaehaerys II Targaryen and Aerys II Targaryen's Kingsguard and Lord Commander of Robert Baratheon's Kingsguard.
Barth	Barth	/reference/k/01241/index.html	A septon and Hand of the King to Jaehaerys I Targaryen.
Barth	Barth	/reference/k/02869/index.html	The wife of the brewer of Winterfell.
Barth Stark	Barth Stark	/reference/k/01242/index.html	Lord of Winterfell.
Bass	Bass	/reference/k/00700/index.html	A steward of the Night's Watch and kennelmaster for Castle Black
Bastard of Bracken	Bastard of Bracken	/reference/k/02944/index.html	A bastard relation of Lord Jonos Bracken.
Bayard Norcross	Bayard Norcross	/reference/k/02507/index.html	A knight.
Becca	Becca	/reference/k/02854/index.html	A commoner.
Bedwyck	Bedwyck	/reference/k/00701/index.html	Called Giant.  A ranger of the Night's Watch.
Beesbury, Alys	Alys Beesbury	/reference/k/00022/index.html	Wife of Ser Leo Tyrell.
Beesbury, Hugh	Hugh Beesbury	/reference/k/02298/index.html	A knight.
Beesbury, Humfrey	Humfrey Beesbury	/reference/k/00024/index.html	Fought on behalf of Duncan the Tall in a trial of seven at Ashford Meadow and was slain by Ser Donnel of Duskendale.
Beesbury, Jeyne	Jeyne Beesbury	/reference/k/00025/index.html	Wife of Rhaegar Frey.
Beesbury, Warryn	Warryn Beesbury	/reference/k/02698/index.html	Lord of Honeyholt.
Belandra	Belandra	/reference/k/02613/index.html	A servant at Sunspear.
Belis	Belis	/reference/k/01244/index.html	A wisdom of the Alchemist's Guild.
Bella	Bella	/reference/k/02884/index.html	A prostitute at the Peach in Stoney Sept.
Bellegere Otherys	Bellegere Otherys	/reference/k/02574/index.html	The first Black Pearl.
Bellegere Otherys	Bellegere Otherys	/reference/k/02447/index.html	The current Black Pearl.
Bellena Hawick	Bellena Hawick	/reference/k/00277/index.html	Wife of Ser Hosteen Frey.
Bellonara Otherys	Bellonara Otherys	/reference/k/02575/index.html	Mother of the current Black Pearl, Bellegere Otherys, and the Black Pearl before her.
Belmore, Marwyn	Marwyn Belmore	/reference/k/00026/index.html	A knight, member of House Belmore, and captain of the guard at the Eyrie.
Belwas	Belwas	/reference/k/00702/index.html	Called Strong Belwas. A eunuch in service to Magister Illyrio Mopatis.
Ben	Ben	/reference/k/02498/index.html	Called Ben Blackthumb. A blacksmith at Harrenhal.
Ben	Ben	/reference/k/01245/index.html	Called Big Belly Ben. A member of the Kingswood Brotherhood.
Ben	Ben	/reference/k/02743/index.html	A ranger of the Night's Watch.
Ben	Ben	/reference/k/02603/index.html	An orphan boy.
Ben Beesbury	Ben Beesbury	/reference/k/02614/index.html	Head of House Beesbury.
Ben Bushy	Ben Bushy	/reference/k/02291/index.html	Called Big Ben. A knight.
Ben Plumm	Ben Plumm	/reference/k/00407/index.html	Called Brown Ben. A member of the Second Sons sellsword company.
Benedar Belmore	Benedar Belmore	/reference/k/02236/index.html	Lord of Strongsong.
Benedict	Benedict	/reference/k/02095/index.html	An archmaester of the Citadel.
Benedict Broom	Benedict Broom	/reference/k/00049/index.html	Master-at-arms for Casterly Rock.
Benfred Tallhart	Benfred Tallhart	/reference/k/00533/index.html	Only son of Ser Helman Tallhart.
Benfrey Frey	Benfrey Frey	/reference/k/00166/index.html	Sixteenth son of Lord Walder Frey.
Benjen Stark	Benjen Stark	/reference/k/01247/index.html	Called Benjen the Sweet. King in the North.
Benjen Stark	Benjen Stark	/reference/k/01246/index.html	Called Benjen the Bitter. King in the North.
Benjen Stark	Benjen Stark	/reference/k/00503/index.html	Younger brother of Eddard Stark and First Ranger of the Night's Watch.
Bennard Brune	Bennard Brune	/reference/k/02740/index.html	A knight, cousin to Lord Eustace Brune, and master of Brownhollow.
Bennarion Botley	Bennarion Botley	/reference/k/01937/index.html	
Bennet	Bennet	/reference/k/02540/index.html	The septon of Saltpans.
Bennis	Bennis	/reference/k/02765/index.html	Called Bennis of the Brown Shield. A hedge knight.
Beony Beesbury	Beony Beesbury	/reference/k/00023/index.html	Wife of Ser Raymund Frey.
Beqqo	Beqqo	/reference/k/02554/index.html	Called Blind Beqqo. A shellfish vendor in Braavos.
Beren Tallhart	Beren Tallhart	/reference/k/00534/index.html	Younger son of Leobald Tallhart.
Berena Hornwood	Berena Hornwood	/reference/k/00289/index.html	Wife of Leobald Tallhart.
Beric Dondarrion	Beric Dondarrion	/reference/k/00104/index.html	Lord of Blackhaven.
Bernarr	Bernarr	/reference/k/00704/index.html	Called Black Bernarr. A ranger of the Night's Watch.
Bernarr	Bernarr	/reference/k/00703/index.html	Called Brown Bernarr. A ranger of the Night's Watch.
Beron Blacktyde	Beron Blacktyde	/reference/k/02253/index.html	Called Blind Beron Blacktyde. A priest of the Drowned God.
Beron Stark	Beron Stark	/reference/k/01248/index.html	Lord of Winterfell.
Bertram Beesbury	Bertram Beesbury	/reference/k/01989/index.html	A knight of the Reach.
Bessa	Bessa	/reference/k/02871/index.html	A commoner in Hag's Mire.
Bessa	Bessa	/reference/k/02856/index.html	A serving girl at the Smoking Log outside Winterfell.
Beth Cassel	Beth Cassel	/reference/k/00059/index.html	Only daughter of Ser Rodrik Cassel.
Bethany	Bethany	/reference/k/02571/index.html	Called Blushing Bethany.
Bethany	Bethany	/reference/k/00705/index.html	Called Bethany Fair-Fingers.
Bethany Redwyne	Bethany Redwyne	/reference/k/01249/index.html	Wife of Lord Mathis Rowan.
Bethany Rosby	Bethany Rosby	/reference/k/00439/index.html	Sixth wife of Lord Walder Frey.
Bethany Ryswell	Bethany Ryswell	/reference/k/02730/index.html	Second wife of Lord Roose Bolton.
Betharios	Betharios	/reference/k/00706/index.html	Wife of Symond Frey. She is from Braavos.
Bettley, Jon	Jon Bettley	/reference/k/02319/index.html	Called Beardless Jon. A knight.
Bharbo	Bharbo	/reference/k/02890/index.html	A Dothraki man.
Big Boil	Big Boil	/reference/k/01250/index.html	A wildling raider.
Big Walder Frey	Big Walder Frey	/reference/k/00167/index.html	Eldest son of Ser Jammos Frey.
Bill	Bill	/reference/k/00707/index.html	Called Muttering Bill. A steward of the Night's Watch.
Biter	Biter	/reference/k/00883/index.html	A convicted felon.
Black Walder Frey	Black Walder Frey	/reference/k/00168/index.html	Middle son of Ser Ryman Frey.
Blackbar, Leo	Leo Blackbar	/reference/k/00027/index.html	A knight and member of House Blackbar.
Blackberry, Jate	Jate Blackberry	/reference/k/01439/index.html	A guard at Dragonstone.
Blackberry, Omer	Omer Blackberry	/reference/k/01994/index.html	A soldier at Dragonstone.
Blackfyre, Aegon	Aegon Blackfyre	/reference/k/02338/index.html	Eldest son of Daemon Blackfyre and twin to Aemon.
Blackfyre, Aemon	Aemon Blackfyre	/reference/k/02339/index.html	Second son of Daemon Blackfyre and twin to Aegon.
Blackfyre, Daemon	Daemon Blackfyre	/reference/k/01799/index.html	Bastard son of Aegon IV Targaryen.
Blackmont, Jynessa	Jynessa Blackmont	/reference/k/00028/index.html	Daughter of Lady Larra Blackmont.
Blackmont, Larra	Larra Blackmont	/reference/k/00029/index.html	Lady of Blackmont.
Blackmont, Perros	Perros Blackmont	/reference/k/00030/index.html	Son of Lady Larra Blackmont.
Blackwood, Alyssa	Alyssa Blackwood	/reference/k/00031/index.html	Fourth wife of Lord Walder Frey.
Blackwood, Lucas	Lucas Blackwood	/reference/k/01478/index.html	Son of Lord Tytos Blackwood.
Blackwood, Mylessa	Mylessa Blackwood	/reference/k/02308/index.html	
Blackwood, Quentyn	Quentyn Blackwood	/reference/k/00032/index.html	Lord of Raventree and head of House Blackwood. Slain by Otho Bracken in a tourney.
Blackwood, Tytos	Tytos Blackwood	/reference/k/00033/index.html	Lord of Raventree.
Blane	Blane	/reference/k/00708/index.html	A ranger of the Night's Watch.
Blanetree, Zhoe	Zhoe Blanetree	/reference/k/00034/index.html	Wife of Ser Tytos Frey.
Bluetooth	Bluetooth	/reference/k/01257/index.html	An ironman longship captain.
Bodger	Bodger	/reference/k/01258/index.html	A wildling raider.
Bolton, Domeric	Domeric Bolton	/reference/k/00885/index.html	Only son of Lord Roose Bolton.
Bolton, Roose	Roose Bolton	/reference/k/00036/index.html	Lord of the Dreadfort.
Bonifer Hasty	Bonifer Hasty	/reference/k/00276/index.html	Called Bonifer the Good. A knight of the Stormlands.
Boot, Spare	Spare Boot	/reference/k/01908/index.html	A builder of the Night's Watch.
Borcas	Borcas	/reference/k/01259/index.html	A steward of the Night's Watch. He is in charge of the stewards at Eastwatch-by-the-Sea.
Boremund Harlaw	Boremund Harlaw	/reference/k/02251/index.html	Called Boremund the Blue. Master of Harridan Hill and cousin to Lord Rodrik Harlaw.
Boros Blount	Boros Blount	/reference/k/00035/index.html	A knight of King Robert Baratheon's Kingsguard.
