Chapter	Book	Title	characterURL	Character	ID
10	A Game of Thrones	Jon II	/index.php/Eddard_Stark	Eddard Stark	456
10	A Game of Thrones	Jon II	/index.php/Mikken	Mikken	1142
10	A Game of Thrones	Jon II	/index.php/Mordane	Mordane	1157
10	A Game of Thrones	Jon II	/index.php/Sansa_Stark	Sansa Stark	1530
11	A Game of Thrones	Daenerys II	/index.php/Daenerys_Targaryen	Daenerys Targaryen	352
11	A Game of Thrones	Daenerys II	/index.php/Illyrio_Mopatis	Illyrio Mopatis	771
11	A Game of Thrones	Daenerys II	/index.php/Jorah_Mormont	Jorah Mormont	862
11	A Game of Thrones	Daenerys II	/index.php/Viserys_Targaryen	Viserys Targaryen	1770
11	A Game of Thrones	Daenerys II	/index.php/Drogo	Drogo	438
11	A Game of Thrones	Daenerys II	/index.php/Cohollo	Cohollo	317
11	A Game of Thrones	Daenerys II	/index.php/Doreah	Doreah	434
11	A Game of Thrones	Daenerys II	/index.php/Haggo	Haggo	667
11	A Game of Thrones	Daenerys II	/index.php/Irri	Irri	775
11	A Game of Thrones	Daenerys II	/index.php/Jhiqui	Jhiqui	825
11	A Game of Thrones	Daenerys II	/index.php/Qotho	Qotho	1337
12	A Game of Thrones	Eddard II	/index.php/Eddard_Stark	Eddard Stark	456
12	A Game of Thrones	Eddard II	/index.php/Robert_Baratheon	Robert Baratheon	1434
12	A Game of Thrones	Eddard II	/index.php/Jon_Snow	Jon Snow	851
12	A Game of Thrones	Eddard II	/index.php/Wylla	Wylla	1858
12	A Game of Thrones	Eddard II	/index.php/Varys	Varys	1757
12	A Game of Thrones	Eddard II	/index.php/Daenerys_Targaryen	Daenerys Targaryen	352
12	A Game of Thrones	Eddard II	/index.php/Drogo	Drogo	438
12	A Game of Thrones	Eddard II	/index.php/Jorah_Mormont	Jorah Mormont	862
12	A Game of Thrones	Eddard II	/index.php/Rickard_Stark	Rickard Stark	1422
12	A Game of Thrones	Eddard II	/index.php/Brandon_Stark	Brandon Stark	243
12	A Game of Thrones	Eddard II	/index.php/Tywin_Lannister	Tywin Lannister	1727
12	A Game of Thrones	Eddard II	/index.php/Rhaegar_Targaryen	Rhaegar Targaryen	1404
12	A Game of Thrones	Eddard II	/index.php/Lyanna_Stark	Lyanna Stark	1015
12	A Game of Thrones	Eddard II	/index.php/Viserys_Targaryen	Viserys Targaryen	1770
12	A Game of Thrones	Eddard II	/index.php/Illyrio_Mopatis	Illyrio Mopatis	771
12	A Game of Thrones	Eddard II	/index.php/Jon_Arryn	Jon Arryn	836
12	A Game of Thrones	Eddard II	/index.php/Robert_Arryn	Robert Arryn	1432
12	A Game of Thrones	Eddard II	/index.php/Stannis_Baratheon	Stannis Baratheon	1586
12	A Game of Thrones	Eddard II	/index.php/Jaime_Lannister	Jaime Lannister	785
12	A Game of Thrones	Eddard II	/index.php/Alyn	Alyn	63
12	A Game of Thrones	Eddard II	/index.php/Boros_Blount	Boros Blount	234
12	A Game of Thrones	Eddard II	/index.php/Meryn_Trant	Meryn Trant	1140
12	A Game of Thrones	Eddard II	/index.php/Aerys_II_Targaryen	Aerys II Targaryen	27
12	A Game of Thrones	Eddard II	/index.php/Baelor_Targaryen	Baelor Targaryen	150
12	A Game of Thrones	Eddard II	/index.php/Bran_Stark	Bran Stark	240
12	A Game of Thrones	Eddard II	/index.php/Catelyn_Tully	Catelyn Tully	287
12	A Game of Thrones	Eddard II	/index.php/Cersei_Lannister	Cersei Lannister	295
12	A Game of Thrones	Eddard II	/index.php/Lysa_Tully	Lysa Tully	1033
13	A Game of Thrones	Tyrion II	/index.php/Tyrion_Lannister	Tyrion Lannister	1716
13	A Game of Thrones	Tyrion II	/index.php/Benjen_Stark	Benjen Stark	194
13	A Game of Thrones	Tyrion II	/index.php/Jon_Snow	Jon Snow	851
13	A Game of Thrones	Tyrion II	/index.php/Yoren	Yoren	1873
13	A Game of Thrones	Tyrion II	/index.php/Loren_Lannister	Loren Lannister	976
13	A Game of Thrones	Tyrion II	/index.php/Aegon_I_Targaryen	Aegon I Targaryen	8
13	A Game of Thrones	Tyrion II	/index.php/Robb_Stark	Robb Stark	1431
13	A Game of Thrones	Tyrion II	/index.php/Jyck	Jyck	885
13	A Game of Thrones	Tyrion II	/index.php/Morrec	Morrec	1166
13	A Game of Thrones	Tyrion II	/index.php/Catelyn_Tully	Catelyn Tully	287
13	A Game of Thrones	Tyrion II	/index.php/Eddard_Stark	Eddard Stark	456
13	A Game of Thrones	Tyrion II	/index.php/Luwin	Luwin	1013
13	A Game of Thrones	Tyrion II	/index.php/Mern_Gardener	Mern Gardener	1134
13	A Game of Thrones	Tyrion II	/index.php/Robert_Baratheon	Robert Baratheon	1434
14	A Game of Thrones	Catelyn III	/index.php/Catelyn_Tully	Catelyn Tully	287
14	A Game of Thrones	Catelyn III	/index.php/Eddard_Stark	Eddard Stark	456
14	A Game of Thrones	Catelyn III	/index.php/Luwin	Luwin	1013
14	A Game of Thrones	Catelyn III	/index.php/Robb_Stark	Robb Stark	1431
14	A Game of Thrones	Catelyn III	/index.php/Rickon_Stark	Rickon Stark	1426
14	A Game of Thrones	Catelyn III	/index.php/Theon_Greyjoy	Theon Greyjoy	1648
14	A Game of Thrones	Catelyn III	/index.php/Rodrik_Cassel	Rodrik Cassel	1451
14	A Game of Thrones	Catelyn III	/index.php/Hallis_Mollen	Hallis Mollen	675
14	A Game of Thrones	Catelyn III	/index.php/Jon_Arryn	Jon Arryn	836
14	A Game of Thrones	Catelyn III	/index.php/Jaime_Lannister	Jaime Lannister	785
14	A Game of Thrones	Catelyn III	/index.php/Bran_Stark	Bran Stark	240
14	A Game of Thrones	Catelyn III	/index.php/Hodor	Hodor	736
14	A Game of Thrones	Catelyn III	/index.php/Hullen	Hullen	760
14	A Game of Thrones	Catelyn III	/index.php/Jory_Cassel	Jory Cassel	868
14	A Game of Thrones	Catelyn III	/index.php/Sansa_Stark	Sansa Stark	1530
14	A Game of Thrones	Catelyn III	/index.php/Vayon_Poole	Vayon Poole	1758
15	A Game of Thrones	Sansa I	/index.php/Sansa_Stark	Sansa Stark	1530
15	A Game of Thrones	Sansa I	/index.php/Mordane	Mordane	1157
15	A Game of Thrones	Sansa I	/index.php/Arya_Stark	Arya Stark	136
15	A Game of Thrones	Sansa I	/index.php/Cersei_Lannister	Cersei Lannister	295
15	A Game of Thrones	Sansa I	/index.php/Myrcella_Baratheon	Myrcella Baratheon	1195
15	A Game of Thrones	Sansa I	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
15	A Game of Thrones	Sansa I	/index.php/Nymeria	Nymeria	1219
15	A Game of Thrones	Sansa I	/index.php/Mycah	Mycah	1186
15	A Game of Thrones	Sansa I	/index.php/Jon_Snow	Jon Snow	851
15	A Game of Thrones	Sansa I	/index.php/Sandor_Clegane	Sandor Clegane	1528
15	A Game of Thrones	Sansa I	/index.php/Ilyn_Payne	Ilyn Payne	772
15	A Game of Thrones	Sansa I	/index.php/Barristan_Selmy	Barristan Selmy	163
15	A Game of Thrones	Sansa I	/index.php/Renly_Baratheon	Renly Baratheon	1396
15	A Game of Thrones	Sansa I	/index.php/Aerys_II_Targaryen	Aerys II Targaryen	27
15	A Game of Thrones	Sansa I	/index.php/Aemon_Targaryen	Aemon Targaryen	20
15	A Game of Thrones	Sansa I	/index.php/Daeryssa	Daeryssa	358
15	A Game of Thrones	Sansa I	/index.php/Eddard_Stark	Eddard Stark	456
15	A Game of Thrones	Sansa I	/index.php/Jaime_Lannister	Jaime Lannister	785
15	A Game of Thrones	Sansa I	/index.php/Morgil	Morgil	1161
15	A Game of Thrones	Sansa I	/index.php/Naerys_Targaryen	Naerys Targaryen	1199
15	A Game of Thrones	Sansa I	/index.php/Rhaegar_Targaryen	Rhaegar Targaryen	1404
15	A Game of Thrones	Sansa I	/index.php/Robert_Baratheon	Robert Baratheon	1434
15	A Game of Thrones	Sansa I	/index.php/Serwyn	Serwyn	1550
16	A Game of Thrones	Eddard III	/index.php/Eddard_Stark	Eddard Stark	456
16	A Game of Thrones	Eddard III	/index.php/Vayon_Poole	Vayon Poole	1758
16	A Game of Thrones	Eddard III	/index.php/Arya_Stark	Arya Stark	136
16	A Game of Thrones	Eddard III	/index.php/Jory_Cassel	Jory Cassel	868
16	A Game of Thrones	Eddard III	/index.php/Sansa_Stark	Sansa Stark	1530
16	A Game of Thrones	Eddard III	/index.php/Cersei_Lannister	Cersei Lannister	295
16	A Game of Thrones	Eddard III	/index.php/Robert_Baratheon	Robert Baratheon	1434
16	A Game of Thrones	Eddard III	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
16	A Game of Thrones	Eddard III	/index.php/Mycah	Mycah	1186
16	A Game of Thrones	Eddard III	/index.php/Renly_Baratheon	Renly Baratheon	1396
16	A Game of Thrones	Eddard III	/index.php/Nymeria	Nymeria	1219
16	A Game of Thrones	Eddard III	/index.php/Ilyn_Payne	Ilyn Payne	772
16	A Game of Thrones	Eddard III	/index.php/Sandor_Clegane	Sandor Clegane	1528
16	A Game of Thrones	Eddard III	/index.php/Barristan_Selmy	Barristan Selmy	163
16	A Game of Thrones	Eddard III	/index.php/Raymun_Darry	Raymun Darry	1382
16	A Game of Thrones	Eddard III	/index.php/Jaime_Lannister	Jaime Lannister	785
16	A Game of Thrones	Eddard III	/index.php/Rhaegar_Targaryen	Rhaegar Targaryen	1404
17	A Game of Thrones	Bran III	/index.php/Bran_Stark	Bran Stark	240
17	A Game of Thrones	Bran III	/index.php/Jon_Snow	Jon Snow	851
17	A Game of Thrones	Bran III	/index.php/Robb_Stark	Robb Stark	1431
17	A Game of Thrones	Bran III	/index.php/Arya_Stark	Arya Stark	136
17	A Game of Thrones	Bran III	/index.php/Sansa_Stark	Sansa Stark	1530
17	A Game of Thrones	Bran III	/index.php/Rodrik_Cassel	Rodrik Cassel	1451
17	A Game of Thrones	Bran III	/index.php/Luwin	Luwin	1013
17	A Game of Thrones	Bran III	/index.php/Hodor	Hodor	736
17	A Game of Thrones	Bran III	/index.php/Mikken	Mikken	1142
18	A Game of Thrones	Catelyn IV	/index.php/Rodrik_Cassel	Rodrik Cassel	1451
18	A Game of Thrones	Catelyn IV	/index.php/Petyr_Baelish	Petyr Baelish	1303
18	A Game of Thrones	Catelyn IV	/index.php/Brandon_Stark	Brandon Stark	243
18	A Game of Thrones	Catelyn IV	/index.php/Hoster_Tully	Hoster Tully	746
18	A Game of Thrones	Catelyn IV	/index.php/Aron_Santagar	Aron Santagar	121
18	A Game of Thrones	Catelyn IV	/index.php/Varys	Varys	1757
18	A Game of Thrones	Catelyn IV	/index.php/Bran_Stark	Bran Stark	240
18	A Game of Thrones	Catelyn IV	/index.php/Jaime_Lannister	Jaime Lannister	785
18	A Game of Thrones	Catelyn IV	/index.php/Loras_Tyrell	Loras Tyrell	970
18	A Game of Thrones	Catelyn IV	/index.php/Tyrion_Lannister	Tyrion Lannister	1716
18	A Game of Thrones	Catelyn IV	/index.php/Catelyn_Tully	Catelyn Tully	287
18	A Game of Thrones	Catelyn IV	/index.php/Moreo_Tumitis	Moreo Tumitis	1159
18	A Game of Thrones	Catelyn IV	/index.php/Aegon_I_Targaryen	Aegon I Targaryen	8
18	A Game of Thrones	Catelyn IV	/index.php/Baelor_I_Targaryen	Baelor I Targaryen	149
18	A Game of Thrones	Catelyn IV	/index.php/Barristan_Selmy	Barristan Selmy	163
18	A Game of Thrones	Catelyn IV	/index.php/Eddard_Stark	Eddard Stark	456
18	A Game of Thrones	Catelyn IV	/index.php/Edmure_Tully	Edmure Tully	462
18	A Game of Thrones	Catelyn IV	/index.php/Joffrey_Baratheon	Joffrey Baratheon	831
18	A Game of Thrones	Catelyn IV	/index.php/Luwin	Luwin	1013
18	A Game of Thrones	Catelyn IV	/index.php/Maegor_I_Targaryen	Maegor I Targaryen	1040
18	A Game of Thrones	Catelyn IV	/index.php/Pycelle	Pycelle	1326
18	A Game of Thrones	Catelyn IV	/index.php/Renly_Baratheon	Renly Baratheon	1396
18	A Game of Thrones	Catelyn IV	/index.php/Rhaenys_Targaryen	Rhaenys Targaryen	1411
