start,end,cost
20001,48,1
20001,49,1
20001,50,1
20001,51,1
20001,52,1
20001,53,1
20001,54,1
20001,55,1
20001,56,1
20001,57,1
20001,58,1
20001,59,1
20001,60,1
20001,61,1
20001,62,1
20001,63,1
20001,64,1
20001,65,1
20001,66,1
20001,67,1
20001,68,1
20001,69,1
20001,70,1
20001,71,1
20001,72,1
20001,73,1
20001,74,1
20001,75,1
20001,76,1
20001,77,1
20001,78,1
20001,79,1
20001,80,1
20001,81,1
20001,82,1
20001,83,1
20001,84,1
20001,85,1
20001,86,1
20001,87,1
20001,88,1
20001,89,1
20001,90,1
20001,91,1
20001,92,1
20001,93,1
20001,94,1
20001,95,1
20001,96,1
20001,97,1
20001,98,1
20001,99,1
20001,100,1
20001,101,1
20001,102,1
20001,103,1
20001,104,1
20001,105,1
20001,106,1
20001,107,1
20001,108,1
20001,109,1
20001,110,1
20001,111,1
20001,112,1
20001,113,1
20001,114,1
20001,115,1
20001,116,1
20001,117,1
20001,118,1
20001,119,1
20001,120,1
20001,121,1
20001,122,1
20001,123,1
20001,124,1
20001,125,1
20001,126,1
20001,127,1
20001,128,1
20001,129,1
20001,130,1
20001,131,1
20001,132,1
20001,133,1
20001,134,1
20001,135,1
20001,136,1
20001,137,1
20001,138,1
20001,139,1
20001,140,1
20001,141,1
20001,142,1
20001,143,1
20001,144,1
20001,145,1
20001,146,1
20001,147,1
20001,148,1
20001,149,1
20001,150,1
20001,151,1
20001,152,1
20001,153,1
20001,154,1
20001,155,1
20001,156,1
20001,157,1
20001,158,1
20001,159,1
20001,160,1
20001,161,1
20001,162,1
20001,163,1
20001,164,1
20001,165,1
20001,166,1
20001,167,1
20001,168,1
20001,169,1
20001,170,1
20001,171,1
20001,172,1
20001,173,1
20001,174,1
20001,175,1
20001,176,1
20001,177,1
20001,178,1
20001,179,1
20001,180,1
20001,181,1
20001,182,1
20001,183,1
20001,184,1
20001,185,1
20001,186,1
20001,187,1
20001,188,1
20001,189,1
20001,190,1
20001,191,1
20001,192,1
20001,193,1
20001,194,1
20001,195,1
20001,196,1
20001,197,1
20001,198,1
20001,199,1
20001,200,1
20001,201,1
20001,202,1
20001,203,1
20001,204,1
20001,205,1
20001,206,1
20001,207,1
20001,208,1
20001,209,1
20001,210,1
20001,211,1
20001,212,1
20001,213,1
20001,214,1
20001,215,1
20001,216,1
20001,217,1
20001,218,1
20001,219,1
20001,220,1
20001,221,1
20001,222,1
20001,223,1
20001,224,1
20001,225,1
20001,226,1
20001,227,1
20001,228,1
20001,229,1
20001,230,1
20001,231,1
20001,232,1
20001,233,1
20001,234,1
20001,235,1
20001,236,1
20001,237,1
20001,238,1
20001,239,1
20001,240,1
20001,241,1
20001,242,1
20001,243,1
20001,244,1
20001,245,1
20001,246,1
20001,247,1
20001,248,1
20001,249,1
20001,250,1
20001,251,1
20001,252,1
20001,253,1
20001,254,1
20001,255,1
20001,256,1
20001,257,1
20001,258,1
20001,259,1
20001,260,1
20001,261,1
20001,262,1
20001,263,1
20001,264,1
20001,265,1
20001,266,1
20001,267,1
20001,268,1
20001,269,1
20001,270,1
20001,271,1
20001,272,1
20001,273,1
20001,274,1
20001,275,1
20001,276,1
20001,277,1
20001,278,1
20001,279,1
20001,280,1
20001,281,1
20001,282,1
20001,283,1
20001,284,1
20001,285,1
20001,286,1
20001,287,1
20001,288,1
20001,289,1
20001,290,1
20001,291,1
20001,292,1
20001,293,1
20001,294,1
20001,295,1
20001,296,1
20001,297,1
20001,298,1
20001,299,1
20001,300,1
20001,301,1
20001,302,1
20001,303,1
20001,304,1
20001,305,1
20001,306,1
20001,307,1
20001,308,1
20001,309,1
20001,310,1
20001,311,1
20001,312,1
20001,313,1
20001,314,1
20001,315,1
20001,316,1
20001,317,1
20001,318,1
20001,319,1
20001,320,1
20001,321,1
20001,322,1
20001,323,1
20001,324,1
20001,325,1
20001,326,1
20001,327,1
20001,328,1
20001,329,1
20001,330,1
20001,331,1
20001,332,1
20001,333,1
20001,334,1
20001,335,1
20001,336,1
20001,337,1
20001,338,1
20001,339,1
20001,340,1
20001,341,1
20001,342,1
20001,343,1
20001,344,1
20001,345,1
20001,346,1
20001,347,1
20001,348,1
20001,349,1
20001,350,1
20001,351,1
20001,352,1
20001,353,1
20001,354,1
20001,355,1
20001,356,1
20001,357,1
20001,358,1
20001,359,1
20001,360,1
20001,361,1
20001,362,1
20001,363,1
20001,364,1
20001,365,1
20001,366,1
20001,367,1
20001,368,1
20001,369,1
20001,370,1
20001,371,1
20001,372,1
20001,373,1
20001,374,1
20001,375,1
20001,376,1
20001,377,1
20001,378,1
20001,379,1
20001,380,1
20001,381,1
20001,382,1
20001,383,1
20001,384,1
20001,385,1
20001,386,1
20001,387,1
20001,388,1
20001,389,1
20001,390,1
20001,391,1
20001,392,1
20001,393,1
20001,394,1
20001,395,1
20001,396,1
20001,397,1
20001,398,1
20001,399,1
20001,400,1
20001,401,1
20001,402,1
20001,403,1
20001,404,1
20001,405,1
20001,406,1
20001,407,1
20001,408,1
20001,409,1
20001,410,1
20001,411,1
20001,412,1
20001,413,1
20001,414,1
20001,415,1
20001,416,1
20001,417,1
20001,418,1
20001,419,1
20001,420,1
20001,421,1
20001,422,1
20001,423,1
20001,424,1
20001,425,1
20001,426,1
20001,427,1
20001,428,1
20001,429,1
20001,430,1
20001,431,1
20001,432,1
20001,433,1
20001,434,1
20001,435,1
20001,436,1
20001,437,1
20001,438,1
20001,439,1
20001,440,1
20001,441,1
20001,442,1
20001,443,1
20001,444,1
20001,445,1
20001,446,1
20001,447,1
20001,448,1
20001,449,1
20001,450,1
20001,451,1
20001,452,1
20001,453,1
20001,454,1
20001,455,1
20001,456,1
20001,457,1
20001,458,1
20001,459,1
20001,460,1
20001,461,1
20001,462,1
20001,463,1
20001,464,1
20001,465,1
20001,466,1
20001,467,1
20001,468,1
20001,469,1
20001,470,1
20001,471,1
20001,472,1
20001,473,1
20001,474,1
20001,475,1
20001,476,1
20001,477,1
20001,478,1
20001,479,1
20001,480,1
20001,481,1
20001,482,1
20001,483,1
20001,484,1
20001,485,1
20001,486,1
20001,487,1
20001,488,1
20001,489,1
20001,490,1
20001,491,1
20001,492,1
20001,493,1
20001,494,1
20001,495,1
20001,496,1
20001,497,1
20001,498,1
20001,499,1
20001,500,1
20001,501,1
20001,502,1
20001,503,1
20001,504,1
20001,505,1
20001,506,1
20001,507,1
20001,508,1
20001,509,1
20001,510,1
20001,511,1
20001,512,1
20001,513,1
20001,514,1
20001,515,1
20001,516,1
20001,517,1
20001,518,1
20001,519,1
20001,520,1
20001,521,1
20001,522,1
20001,523,1
20001,524,1
20001,525,1
20001,526,1
20001,527,1
20001,528,1
20001,529,1
20001,530,1
20001,531,1
20001,532,1
20001,533,1
20001,534,1
20001,535,1
20001,536,1
20001,537,1
20001,538,1
20001,539,1
20001,540,1
20001,541,1
20001,542,1
20001,543,1
20001,544,1
20001,545,1
20001,546,1
20001,547,1
20001,548,1
20001,549,1
20001,550,1
20001,551,1
20001,552,1
20001,553,1
20001,554,1
20001,555,1
20001,556,1
20001,557,1
20001,558,1
20001,559,1
20001,560,1
20001,561,1
20001,562,1
20001,563,1
20001,564,1
20001,565,1
20001,566,1
20001,567,1
20001,568,1
20001,569,1
20001,570,1
20001,571,1
20001,572,1
20001,573,1
20001,574,1
20001,575,1
20001,576,1
20001,577,1
20001,578,1
20001,579,1
20001,580,1
20001,581,1
20001,582,1
20001,583,1
20001,584,1
20001,585,1
20001,586,1
20001,587,1
20001,588,1
20001,589,1
20001,590,1
20001,591,1
20001,592,1
20001,593,1
20001,594,1
20001,595,1
20001,596,1
20001,597,1
20001,598,1
20001,599,1
20001,600,1
20001,601,1
20001,602,1
20001,603,1
20001,604,1
20001,605,1
20001,606,1
20001,607,1
20001,608,1
20001,609,1
20001,610,1
20001,611,1
20001,612,1
20001,613,1
20001,614,1
20001,615,1
20001,616,1
20001,617,1
20001,618,1
20001,619,1
20001,620,1
20001,621,1
20001,622,1
20001,623,1
20001,624,1
20001,625,1
20001,626,1
20001,627,1
20001,628,1
20001,629,1
20001,630,1
20001,631,1
20001,632,1
20001,633,1
20001,634,1
20001,635,1
20001,636,1
20001,637,1
20001,638,1
20001,639,1
20001,640,1
20001,641,1
20001,642,1
20001,643,1
20001,644,1
20001,645,1
20001,646,1
20001,647,1
20001,648,1
20001,649,1
20001,650,1
20001,651,1
20001,652,1
20001,653,1
20001,654,1
20001,655,1
20001,656,1
20001,657,1
20001,658,1
20001,659,1
20001,660,1
20001,661,1
20001,662,1
20001,663,1
20001,664,1
20001,665,1
20001,666,1
20001,667,1
20001,668,1
20001,669,1
20001,670,1
20001,671,1
20001,672,1
20001,673,1
20001,674,1
20001,675,1
20001,676,1
20001,677,1
20001,678,1
20001,679,1
20001,680,1
20001,681,1
20001,682,1
20001,683,1
20001,684,1
20001,685,1
20001,686,1
20001,687,1
20001,688,1
20001,689,1
20001,690,1
20001,691,1
20001,692,1
20001,693,1
20001,694,1
20001,695,1
20001,696,1
20001,697,1
20001,698,1
20001,699,1
20001,700,1
20001,701,1
20001,702,1
20001,703,1
20001,704,1
20001,705,1
20001,706,1
20001,707,1
20001,708,1
20001,709,1
20001,710,1
20001,711,1
20001,712,1
20001,713,1
20001,714,1
20001,715,1
20001,716,1
20001,717,1
20001,718,1
20001,719,1
20001,720,1
20001,721,1
20001,722,1
20001,723,1
20001,724,1
20001,725,1
20001,726,1
20001,727,1
20001,728,1
20001,729,1
20001,730,1
20001,731,1
20001,732,1
20001,733,1
20001,734,1
20001,735,1
20001,736,1
20001,737,1
20001,738,1
20001,739,1
20001,740,1
20001,741,1
20001,742,1
20001,743,1
20001,744,1
20001,745,1
20001,746,1
20001,747,1
20001,748,1
20001,749,1
20001,750,1
20001,751,1
20001,752,1
20001,753,1
20001,754,1
20001,755,1
20001,756,1
20001,757,1
20001,758,1
20001,759,1
20001,760,1
20001,761,1
20001,762,1
20001,763,1
20001,764,1
20001,765,1
20001,766,1
20001,767,1
20001,768,1
20001,769,1
20001,770,1
20001,771,1
20001,772,1
20001,773,1
20001,774,1
20001,775,1
20001,776,1
20001,777,1
20001,778,1
20001,779,1
20001,780,1
20001,781,1
20001,782,1
20001,783,1
20001,784,1
20001,785,1
20001,786,1
20001,787,1
20001,788,1
20001,789,1
20001,790,1
20001,791,1
20001,792,1
20001,793,1
20001,794,1
20001,795,1
20001,796,1
20001,797,1
20001,798,1
20001,799,1
20001,800,1
20001,801,1
20001,802,1
20001,803,1
20001,804,1
20001,805,1
20001,806,1
20001,807,1
20001,808,1
20001,809,1
20001,810,1
20001,811,1
20001,812,1
20001,813,1
20001,814,1
20001,815,1
20001,816,1
20001,817,1
20001,818,1
20001,819,1
20001,820,1
20001,821,1
20001,822,1
20001,823,1
20001,824,1
20001,825,1
20001,826,1
20001,827,1
20001,828,1
20001,829,1
20001,830,1
20001,831,1
20001,832,1
20001,833,1
20001,834,1
20001,835,1
20001,836,1
20001,837,1
20001,838,1
20001,839,1
20001,840,1
20001,841,1
20001,842,1
20001,843,1
20001,844,1
20001,845,1
20001,846,1
20001,847,1
20001,848,1
20001,849,1
20001,850,1
20001,851,1
20001,852,1
20001,853,1
20001,854,1
20001,855,1
20001,856,1
20001,857,1
20001,858,1
20001,859,1
20001,860,1
20001,861,1
20001,862,1
20001,863,1
20001,864,1
20001,865,1
20001,866,1
20001,867,1
20001,868,1
20001,869,1
20001,870,1
20001,871,1
20001,872,1
20001,873,1
20001,874,1
20001,875,1
20001,876,1
20001,877,1
20001,878,1
20001,879,1
20001,880,1
20001,881,1
20001,882,1
20001,883,1
20001,884,1
20001,885,1
20001,886,1
20001,887,1
20001,888,1
20001,889,1
20001,890,1
20001,891,1
20001,892,1
20001,893,1
20001,894,1
20001,895,1
20001,896,1
20001,897,1
20001,898,1
20001,899,1
20001,900,1
20001,901,1
20001,902,1
20001,903,1
20001,904,1
20001,905,1
20001,906,1
20001,907,1
20001,908,1
20001,909,1
20001,910,1
20001,911,1
20001,912,1
20001,913,1
20001,914,1
20001,915,1
20001,916,1
20001,917,1
20001,918,1
20001,919,1
20001,920,1
20001,921,1
20001,922,1
20001,923,1
20001,924,1
20001,925,1
20001,926,1
20001,927,1
20001,928,1
20001,929,1
20001,930,1
20001,931,1
20001,932,1
20001,933,1
20001,934,1
20001,935,1
20001,936,1
20001,937,1
20001,938,1
20001,939,1
20001,940,1
20001,941,1
20001,942,1
20001,943,1
20001,944,1
20001,945,1
20001,946,1
20001,947,1
20001,948,1
20001,949,1
20001,950,1
20001,951,1
20001,952,1
20001,953,1
20001,954,1
20001,955,1
20001,956,1
20001,957,1
20001,958,1
20001,959,1
20001,960,1
20001,961,1
20001,962,1
20001,963,1
20001,964,1
20001,965,1
20001,966,1
20001,967,1
20001,968,1
20001,969,1
20001,970,1
20001,971,1
20001,972,1
20001,973,1
20001,974,1
20001,975,1
20001,976,1
20001,977,1
20001,978,1
20001,979,1
20001,980,1
20001,981,1
20001,982,1
20001,983,1
20001,984,1
20001,985,1
20001,986,1
20001,987,1
20001,988,1
20001,989,1
20001,990,1
20001,991,1
20001,992,1
20001,993,1
20001,994,1
20001,995,1
20001,996,1
20001,997,1
20001,998,1
20001,999,1
20001,1000,1
20001,1001,1
20001,1002,1
20001,1003,1
20001,1004,1
20001,1005,1
20001,1006,1
20001,1007,1
20001,1008,1
20001,1009,1
20001,1010,1
20001,1011,1
20001,1012,1
20001,1013,1
20001,1014,1
20001,1015,1
20001,1016,1
20001,1017,1
20001,1018,1
20001,1019,1
20001,1020,1
20001,1021,1
20001,1022,1
20001,1023,1
20001,1024,1
20001,1025,1
20001,1026,1
20001,1027,1
20001,1028,1
20001,1029,1
20001,1030,1
20001,1031,1
20001,1032,1
20001,1033,1
20001,1034,1
20001,1035,1
20001,1036,1
20001,1037,1
20001,1038,1
20001,1039,1
20001,1040,1
20001,1041,1
20001,1042,1
20001,1043,1
20001,1044,1
20001,1045,1
20001,1046,1
20001,1047,1
20001,1048,1
20001,1049,1
20001,1050,1
20001,1051,1
20001,1052,1
20001,1053,1
20001,1054,1
20001,1055,1
20001,1056,1
20001,1057,1
20001,1058,1
20001,1059,1
20001,1060,1
20001,1061,1
20001,1062,1
20001,1063,1
20001,1064,1
20001,1065,1
20001,1066,1
20001,1067,1
20001,1068,1
20001,1069,1
20001,1070,1
20001,1071,1
20001,1072,1
20001,1073,1
20001,1074,1
20001,1075,1
20001,1076,1
20001,1077,1
20001,1078,1
20001,1079,1
20001,1080,1
20001,1081,1
20001,1082,1
20001,1083,1
20001,1084,1
20001,1085,1
20001,1086,1
20001,1087,1
20001,1088,1
20001,1089,1
20001,1090,1
20001,1091,1
20001,1092,1
20001,1093,1
20001,1094,1
20001,1095,1
20001,1096,1
20001,1097,1
20001,1098,1
20001,1099,1
20001,1100,1
20001,1101,1
20001,1102,1
20001,1103,1
20001,1104,1
20001,1105,1
20001,1106,1
20001,1107,1
20001,1108,1
20001,1109,1
20001,1110,1
20001,1111,1
20001,1112,1
20001,1113,1
20001,1114,1
20001,1115,1
20001,1116,1
20001,1117,1
20001,1118,1
20001,1119,1
20001,1120,1
20001,1121,1
20001,1122,1
20001,1123,1
20001,1124,1
20001,1125,1
20001,1126,1
20001,1127,1
20001,1128,1
20001,1129,1
20001,1130,1
20001,1131,1
20001,1132,1
20001,1133,1
20001,1134,1
20001,1135,1
20001,1136,1
20001,1137,1
20001,1138,1
20001,1139,1
20001,1140,1
20001,1141,1
20001,1142,1
20001,1143,1
20001,1144,1
20001,1145,1
20001,1146,1
20001,1147,1
20001,1148,1
20001,1149,1
20001,1150,1
20001,1151,1
20001,1152,1
20001,1153,1
20001,1154,1
20001,1155,1
20001,1156,1
20001,1157,1
20001,1158,1
20001,1159,1
20001,1160,1
20001,1161,1
20001,1162,1
20001,1163,1
20001,1164,1
20001,1165,1
20001,1166,1
20001,1167,1
20001,1168,1
20001,1169,1
20001,1170,1
20001,1171,1
20001,1172,1
20001,1173,1
20001,1174,1
20001,1175,1
20001,1176,1
20001,1177,1
20001,1178,1
20001,1179,1
20001,1180,1
20001,1181,1
20001,1182,1
20001,1183,1
20001,1184,1
20001,1185,1
20001,1186,1
20001,1187,1
20001,1188,1
20001,1189,1
20001,1190,1
20001,1191,1
20001,1192,1
20001,1193,1
20001,1194,1
20001,1195,1
20001,1196,1
20001,1197,1
20001,1198,1
20001,1199,1
20001,1200,1
20001,1201,1
20001,1202,1
20001,1203,1
20001,1204,1
20001,1205,1
20001,1206,1
20001,1207,1
20001,1208,1
20001,1209,1
20001,1210,1
20001,1211,1
20001,1212,1
20001,1213,1
20001,1214,1
20001,1215,1
20001,1216,1
20001,1217,1
20001,1218,1
20001,1219,1
20001,1220,1
20001,1221,1
20001,1222,1
20001,1223,1
20001,1224,1
20001,1225,1
20001,1226,1
20001,1227,1
20001,1228,1
20001,1229,1
20001,1230,1
20001,1231,1
20001,1232,1
20001,1233,1
20001,1234,1
20001,1235,1
20001,1236,1
20001,1237,1
20001,1238,1
20001,1239,1
20001,1240,1
20001,1241,1
20001,1242,1
20001,1243,1
20001,1244,1
20001,1245,1
20001,1246,1
20001,1247,1
20001,1248,1
20001,1249,1
20001,1250,1
20001,1251,1
20001,1252,1
20001,1253,1
20001,1254,1
20001,1255,1
20001,1256,1
20001,1257,1
20001,1258,1
20001,1259,1
20001,1260,1
20001,1261,1
20001,1262,1
20001,1263,1
20001,1264,1
20001,1265,1
20001,1266,1
20001,1267,1
20001,1268,1
20001,1269,1
20001,1270,1
20001,1271,1
20001,1272,1
20001,1273,1
20001,1274,1
20001,1275,1
20001,1276,1
20001,1277,1
20001,1278,1
20001,1279,1
20001,1280,1
20001,1281,1
20001,1282,1
20001,1283,1
20001,1284,1
20001,1285,1
20001,1286,1
20001,1287,1
20001,1288,1
20001,1289,1
20001,1290,1
20001,1291,1
20001,1292,1
20001,1293,1
20001,1294,1
