From,Directorate,Department,year,Len
Association du Personnel OCDE,ADP,,2011,1167
Association du Personnel OCDE,ADP,,2011,1689
Association du Personnel OCDE,ADP,,2011,9732
Association du Personnel OCDE,ADP,,2011,1762
Association du Personnel OCDE,ADP,,2011,134
Association du Personnel OCDE,ADP,,2011,3519
Association du Personnel OCDE,ADP,,2011,2158
Association du Personnel OCDE,ADP,,2011,2174
Association du Personnel OCDE,ADP,,2011,5473
Association du Personnel OCDE,ADP,,2011,2438
Association du Personnel OCDE,ADP,,2011,2434
Association du Personnel OCDE,ADP,,2011,2434
Association du Personnel OCDE,ADP,,2011,2189
Association du Personnel OCDE,ADP,,2011,3212
Association du Personnel OCDE,ADP,,2012,5110
Association du Personnel OCDE,ADP,,2012,1277
Association du Personnel OCDE,ADP,,2012,2000
Association du Personnel OCDE,ADP,,2012,18236
Association du Personnel OCDE,ADP,,2012,3070
Association du Personnel OCDE,ADP,,2012,1640
Association du Personnel OCDE,ADP,,2012,9687
Association du Personnel OCDE,ADP,,2012,3397
Association du Personnel OCDE,ADP,,2012,4516
Association du Personnel,ADP,,2004,3406
Association du Personnel,ADP,,2004,5616
Association du Personnel,ADP,,2004,10721
Association du Personnel,ADP,,2004,3752
Association du Personnel,ADP,,2004,5154
Association du Personnel,ADP,,2006,7235
Association du Personnel,ADP,,2006,6572
Association du Personnel,ADP,,2006,6108
Association du Personnel,ADP,,2006,7319
Association du Personnel,ADP,,2006,6215
Association du Personnel,ADP,,2006,2680
Association du Personnel,ADP,,2006,2658
Association du Personnel,ADP,,2006,6871
Association du Personnel,ADP,,2006,3024
Association du Personnel,ADP,,2007,8518
OSTERROTH Christel,ADP,,2012,6080
QUARMEAU Solange,AEN,RE,2006,1066
QUARMEAU Solange,AEN,RE,2006,6532
QUARMEAU Solange,AEN,RE,2007,720
QUARMEAU Solange,AEN,RE,2007,302
QUARMEAU Solange,AEN,RE,2008,1895
ESPINASSE Eric,AGR,CMU,2004,4339
BOFFA Katjusha,AGR,COD,2006,2105
ANDREWS-CHOUICHA Emily,AGR,FISH,2006,836
ANDREWS-CHOUICHA Emily,AGR,FISH,2006,2873
ANDREWS-CHOUICHA Emily,AGR,FISH,2006,748
REILLE Laetitia,AGR,FISH,2004,3620
REILLE Laetitia,AGR,FISH,2004,2936
REILLE Laetitia,AGR,FISH,2004,6391
REILLE Laetitia,AGR,FISH,2004,791
REILLE Laetitia,AGR,FISH,2004,2793
BAGHERZADEH Morvarid,AGR,NME,2006,2710
BAGHERZADEH Morvarid,AGR,NME,2006,3395
YUONG Chen,AGR,PE,2004,2422
DE MATOS NUNES Alexandra,AGR,PTA,2004,473
MOREDDU Catherine,AGR,PTA,2006,786
PATTERSON Michäle,AGR,PTA,2006,2767
REILLE Laetitia,AGR,PTA,2006,1044
REILLE Laetitia,AGR,PTA,2006,2520
BOONEKAMP Loek,AGR,TM,2006,2130
Association Internationale des Anciens,ASS,AIA,2012,4568
ALORA,ASS,ALO,2008,3476
ALORA,ASS,ALO,2008,2930
ALORA,ASS,ALO,2008,2542
ALORA,ASS,ALO,2008,3207
ALORA,ASS,ALO,2008,4303
ALORA,ASS,ALO,2008,1670
ALORA,ASS,ALO,2008,3238
ALORA,ASS,ALO,2010,2553
ALORA,ASS,ALO,2010,4852
ALORA,ASS,ALO,2010,4188
ALORA,ASS,ALO,2010,5618
ALORA,ASS,ALO,2010,2729
ALORA,ASS,ALO,2010,3512
ALORA,ASS,ALO,2010,3093
ALORA,ASS,ALO,2010,2144
ALORA,ASS,ALO,2010,920
ALORA,ASS,ALO,2010,4363
ALORA,ASS,ALO,2010,4495
ALORA,ASS,ALO,2010,2843
ALORA,ASS,ALO,2010,5784
ALORA,ASS,ALO,2010,3014
ALORA,ASS,ALO,2010,3458
ALORA,ASS,ALO,2010,2835
ALORA,ASS,ALO,2010,1998
ALORA,ASS,ALO,2010,2649
ALORA,ASS,ALO,2010,1451
ALORA,ASS,ALO,2010,1478
ALORA,ASS,ALO,2010,346
ALORA,ASS,ALO,2010,726
ALORA,ASS,ALO,2010,3847
ALORA,ASS,ALO,2010,4800
ALORA,ASS,ALO,2010,3929
ALORA,ASS,ALO,2010,4197
ALORA,ASS,ALO,2010,5705
ALORA,ASS,ALO,2010,981
ALORA,ASS,ALO,2010,4348
ALORA,ASS,ALO,2010,3890
ALORA,ASS,ALO,2010,2218
ALORA,ASS,ALO,2010,5255
ALORA,ASS,ALO,2010,3862
ALORA,ASS,ALO,2010,2795
ALORA,ASS,ALO,2010,2981
ALORA,ASS,ALO,2010,3402
ALORA,ASS,ALO,2010,2629
ALORA,ASS,ALO,2011,9779
ALORA,ASS,ALO,2011,10057
ALORA,ASS,ALO,2011,5387
ALORA,ASS,ALO,2011,1639
ALORA,ASS,ALO,2011,1889
ALORA,ASS,ALO,2011,4109
ALORA,ASS,ALO,2011,3411
ALORA,ASS,ALO,2011,2900
ALORA,ASS,ALO,2011,3877
ALORA,ASS,ALO,2011,6180
ALORA,ASS,ALO,2011,5798
ALORA,ASS,ALO,2011,5172
ALORA,ASS,ALO,2011,3610
ALORA,ASS,ALO,2011,599
ALORA,ASS,ALO,2011,5859
ALORA,ASS,ALO,2011,3487
ALORA,ASS,ALO,2011,3686
ALORA,ASS,ALO,2011,1522
ALORA,ASS,ALO,2011,3310
ALORA,ASS,ALO,2011,1689
ALORA,ASS,ALO,2011,5280
ALORA,ASS,ALO,2011,8090
ALORA,ASS,ALO,2011,6849
ALORA,ASS,ALO,2011,7780
ALORA,ASS,ALO,2011,9044
ALORA,ASS,ALO,2011,4681
ALORA,ASS,ALO,2011,7044
ALORA,ASS,ALO,2011,5046
ALORA,ASS,ALO,2011,6408
ALORA,ASS,ALO,2011,5313
ALORA,ASS,ALO,2011,5587
ALORA,ASS,ALO,2011,3496
ALORA,ASS,ALO,2011,1317
ALORA,ASS,ALO,2012,2554
ALORA,ASS,ALO,2012,5390
ALORA,ASS,ALO,2012,3436
ALORA,ASS,ALO,2012,5986
ALORA,ASS,ALO,2012,5619
ALORA,ASS,ALO,2012,6109
ALORA,ASS,ALO,2012,1575
ALORA,ASS,ALO,2012,721
ALORA,ASS,ALO,2012,2388
ALORA,ASS,ALO,2012,4163
ALORA,ASS,ALO,2012,5701
ALORA,ASS,ALO,2012,6312
ALORA,ASS,ALO,2012,6611
ALORA,ASS,ALO,2012,8344
ALORA,ASS,ALO,2012,6891
ALORA,ASS,ALO,2012,4820
ALORA,ASS,ALO,2012,2597
ALORA,ASS,ALO,2012,5287
ALORA,ASS,ALO,2012,4253
ALORA,ASS,ALO,2012,3948
ALORA,ASS,ALO,2012,6194
ALORA,ASS,ALO,2012,6363
ALORA,ASS,ALO,2012,5571
DUQUIN Michelle,ASS,ALO,2004,1108
DUQUIN Michelle,ASS,ALO,2004,305
War on Hunger Group,ASS,WHG,2006,4555
War on Hunger Group,ASS,WHG,2007,3932
War on Hunger Group,ASS,WHG,2008,4851
War on Hunger Group,ASS,WHG,2008,1624
War on Hunger Group,ASS,WHG,2008,1300
War on Hunger Group,ASS,WHG,2008,3120
War on Hunger Group,ASS,WHG,2010,2962
War on Hunger Group,ASS,WHG,2010,3056
War on Hunger Group,ASS,WHG,2010,3091
War on Hunger Group,ASS,WHG,2010,1254
War on Hunger Group,ASS,WHG,2010,1472
War on Hunger Group,ASS,WHG,2011,2589
MINOUX Jane,CEM,AC,2006,1273
PLEZ Aline,CEM,AC,2006,1218
BARRETO Mario,CEM,ERS,2006,6845
BARRETO Mario,CEM,ERS,2007,4147
BARRETO Mario,CEM,ERS,2007,3234
ROULLET Franáoise,CEM,JTRC,2006,668
ROULLET Franáoise,CEM,JTRC,2006,553
ROULLET Franáoise,CEM,JTRC,2006,868
ROULLET Franáoise,CEM,JTRC,2006,2628
ROULLET Franáoise,CEM,JTRC,2006,2807
ROULLET Franáoise,CEM,JTRC,2007,795
ROULLET Franáoise,CEM,JTRC,2007,2780
ROULLET Franáoise,CEM,JTRC,2007,3829
ROULLET Franáoise,CEM,JTRC,2007,4734
ROULLET Franáoise,CEM,JTRC,2007,3968
ROULLET Franáoise,CEM,JTRC,2007,775
CLARKE Lucy,CFE,CMU,2006,1837
CLARKE Lucy,CFE,CMU,2006,3690
CLARKE Lucy,CFE,CMU,2006,688
CLARKE Lucy,CFE,CMU,2006,2650
CLARKE Lucy,CFE,CMU,2010,2164
CLARKE Lucy,CFE,CMU,2011,1306
CLARKE Lucy,CFE,CMU,2011,485
CLARKE Lucy,CFE,CMU,2011,489
CLARKE Lucy,CFE,CMU,2011,509
IGLESIAS Franáois,CFE,CMU,2011,889
IGLESIAS Franáois,CFE,CMU,2011,1660
GIGUERE Sylvain,CFE,LEED,2010,2592
DUPEYRAS Alain,CFE,SME,2012,1412
OWENS Jeffrey,CTP,,2010,2698
MADDISON Jeremy,CTP,GF,2011,1582
MADDISON Jeremy,CTP,GF,2011,1418
MADDISON Jeremy,CTP,GF,2011,1530
MADDISON Jeremy,CTP,GF,2012,1529
MADDISON Jeremy,CTP,GF,2012,1654
MAZUR Reka,CTP,GR,2011,3162
MAZUR Reka,CTP,GR,2011,4346
KHOLODOV Alina,CTP,ICA,2011,481
TYLER Carrie,CTP,MCU,2011,4147
TYLER Carrie,CTP,MCU,2011,10396
WIJMENGA-DANIEL Alexandra,CTP,MCU,2006,3640
WIJMENGA-DANIEL Alexandra,CTP,MCU,2006,2593
WIJMENGA-DANIEL Alexandra,CTP,MCU,2007,3885
WIJMENGA-DANIEL Alexandra,CTP,MCU,2007,530
WIJMENGA-DANIEL Alexandra,CTP,MCU,2007,1384
BUYDENS StÇphane,CTP,TAE,2006,1290
BUYDENS StÇphane,CTP,TAE,2006,2451
BRYS Bert,CTP,TPS,2006,486
BRYS Bert,CTP,TPS,2006,4891
BRYS Bert,CTP,TPS,2006,7280
BRYS Bert,CTP,TPS,2006,7080
BRYS Bert,CTP,TPS,2006,9124
BRYS Bert,CTP,TPS,2006,10631
BRYS Bert,CTP,TPS,2010,876
HEADY Christopher,CTP,TPS,2006,991
HEADY Christopher,CTP,TPS,2006,2366
HEADY Christopher,CTP,TPS,2006,2167
HEADY Christopher,CTP,TPS,2006,1800
HEADY Christopher,CTP,TPS,2006,2232
HEADY Christopher,CTP,TPS,2006,753
HEADY Christopher,CTP,TPS,2008,1165
LAHITTETE Michel,CTP,TPS,2011,1941
MATTHEWS Stephen,CTP,TPS,2010,2387
NETTLEY Maurice,CTP,TPS,2010,2823
NETTLEY Maurice,CTP,TPS,2010,3784
NETTLEY Maurice,CTP,TPS,2010,4980
NETTLEY Maurice,CTP,TPS,2010,5717
NETTLEY Maurice,CTP,TPS,2010,6414
NETTLEY Maurice,CTP,TPS,2011,1430
RABESONA Josette,CTP,TPS,2004,658
RABESONA Josette,CTP,TPS,2004,3301
RABESONA Josette,CTP,TPS,2004,263
RABESONA Josette,CTP,TPS,2004,354
RABESONA Josette,CTP,TPS,2004,1961
RABESONA Josette,CTP,TPS,2004,682
RABESONA Josette,CTP,TPS,2004,195
RABESONA Josette,CTP,TPS,2004,1845
RABESONA Josette,CTP,TPS,2006,1025
RABESONA Josette,CTP,TPS,2006,79
RABESONA Josette,CTP,TPS,2006,803
RABESONA Josette,CTP,TPS,2006,1934
RABESONA Josette,CTP,TPS,2006,2366
RABESONA Josette,CTP,TPS,2006,118
RABESONA Josette,CTP,TPS,2006,408
RABESONA Josette,CTP,TPS,2006,1160
RABESONA Josette,CTP,TPS,2006,278
RABESONA Josette,CTP,TPS,2006,3309
RABESONA Josette,CTP,TPS,2006,5675
RABESONA Josette,CTP,TPS,2006,6047
RABESONA Josette,CTP,TPS,2006,290
RABESONA Josette,CTP,TPS,2006,881
RABESONA Josette,CTP,TPS,2006,2771
RABESONA Josette,CTP,TPS,2007,3085
RABESONA Josette,CTP,TPS,2007,3370
RABESONA Josette,CTP,TPS,2007,3731
RABESONA Josette,CTP,TPS,2007,734
RABESONA Josette,CTP,TPS,2007,1523
RABESONA Josette,CTP,TPS,2007,1038
RABESONA Josette,CTP,TPS,2007,1901
RABESONA Josette,CTP,TPS,2007,422
RABESONA Josette,CTP,TPS,2007,472
RABESONA Josette,CTP,TPS,2007,1097
RABESONA Josette,CTP,TPS,2007,465
RABESONA Josette,CTP,TPS,2007,1902
RABESONA Josette,CTP,TPS,2007,2287
RABESONA Josette,CTP,TPS,2007,2839
RABESONA Josette,CTP,TPS,2007,1470
SOCHAY Violet,CTP,TPS,2006,1141
SOCHAY Violet,CTP,TPS,2006,340
SOCHAY Violet,CTP,TPS,2006,309
SOCHAY Violet,CTP,TPS,2006,2064
SOCHAY Violet,CTP,TPS,2006,3311
SOCHAY Violet,CTP,TPS,2006,354
DUFFIN Pamela,DAF,,2010,2650
DUFFIN Pamela,DAF,,2010,3262
DUFFIN Pamela,DAF,,2012,18403
ERVIN Carolyn,DAF,,2010,2162
ERVIN Carolyn,DAF,,2010,2190
HOUET Wendy,DAF,,2008,1240
HOUET Wendy,DAF,,2008,1741
LEY Robert,DAF,,2007,2471
ROBERTSON Lynn,DAF,,2011,4260
ROBERTSON Lynn,DAF,,2011,6096
ROBERTSON Lynn,DAF,,2011,7735
ROBERTSON Lynn,DAF,,2011,6672
ROBERTSON Lynn,DAF,,2011,9273
ROBERTSON Lynn,DAF,,2011,84
ROBERTSON Lynn,DAF,,2011,387
SMILEY Edward,DAF,,2004,231
SMILEY Edward,DAF,,2004,1076
SMILEY Edward,DAF,,2004,12193
SMILEY Edward,DAF,,2004,4551
SMILEY Edward,DAF,,2004,914
SMILEY Edward,DAF,,2004,1203
SMILEY Edward,DAF,,2004,2779
SMILEY Edward,DAF,,2004,3395
SMILEY Edward,DAF,,2004,5782
SMILEY Edward,DAF,,2004,7474
SMILEY Edward,DAF,,2004,5180
SMILEY Edward,DAF,,2004,1742
SMILEY Edward,DAF,,2004,3489
SMILEY Edward,DAF,,2004,2027
SMILEY Edward,DAF,,2006,425
SMILEY Edward,DAF,,2006,1310
SMILEY Edward,DAF,,2006,832
SMILEY Edward,DAF,,2006,329
SMILEY Edward,DAF,,2006,655
SMILEY Edward,DAF,,2006,1069
SMILEY Edward,DAF,,2006,278
SMILEY Edward,DAF,,2006,182
SMILEY Edward,DAF,,2006,823
SMILEY Edward,DAF,,2006,4616
SMILEY Edward,DAF,,2006,208
SMILEY Edward,DAF,,2006,208
SMILEY Edward,DAF,,2006,169
SMILEY Edward,DAF,,2007,169
SMILEY Edward,DAF,,2007,1076
SMILEY Edward,DAF,,2007,572
SMILEY Edward,DAF,,2007,253
SMILEY Edward,DAF,,2007,726
SMILEY Edward,DAF,,2007,4247
SMILEY Edward,DAF,,2007,220
SMILEY Edward,DAF,,2007,207
SMILEY Edward,DAF,,2007,233
SMILEY Edward,DAF,,2007,3407
SMILEY Edward,DAF,,2007,217
SMILEY Edward,DAF,,2007,5219
SMILEY Edward,DAF,,2007,273
SMILEY Edward,DAF,,2007,162
SMILEY Edward,DAF,,2008,5201
SMILEY Edward,DAF,,2011,1883
CHADZYNSKA HÇläne,DAF,COMP,2007,1529
CHADZYNSKA HÇläne,DAF,COMP,2007,1498
WEST Jeremy,DAF,COMP,2008,1567
KECHICHIAN Thamar,DAF,FIN,2006,2535
KECHICHIAN Thamar,DAF,FIN,2006,17369
KECHICHIAN Thamar,DAF,FIN,2006,738
KECHICHIAN Thamar,DAF,FIN,2006,427
MESSY Flore-Anne,DAF,FIN,2010,1112
PAYET StÇphanie,DAF,FIN,2007,8340
PAYET StÇphanie,DAF,FIN,2007,189
PAYET StÇphanie,DAF,FIN,2007,848
PAYET StÇphanie,DAF,FIN,2007,536
PAYET StÇphanie,DAF,FIN,2007,478
PAYET StÇphanie,DAF,FIN,2007,2801
PAYET StÇphanie,DAF,FIN,2007,2461
PAYET StÇphanie,DAF,FIN,2007,1324
PAYET StÇphanie,DAF,FIN,2008,744
PAYET StÇphanie,DAF,FIN,2008,645
SALOU Jean-Marc,DAF,FIN,2004,766
SALOU Jean-Marc,DAF,FIN,2004,11244
SALOU Jean-Marc,DAF,FIN,2004,1331
SALOU Jean-Marc,DAF,FIN,2004,1618
SALOU Jean-Marc,DAF,FIN,2004,1999
SALOU Jean-Marc,DAF,FIN,2004,2451
SALOU Jean-Marc,DAF,FIN,2004,1477
SALOU Jean-Marc,DAF,FIN,2004,2364
SALOU Jean-Marc,DAF,FIN,2004,13156
SALOU Jean-Marc,DAF,FIN,2004,70
SALOU Jean-Marc,DAF,FIN,2004,117
SALOU Jean-Marc,DAF,FIN,2004,903
SALOU Jean-Marc,DAF,FIN,2004,689
SALOU Jean-Marc,DAF,FIN,2004,124
SALOU Jean-Marc,DAF,FIN,2004,182
SALOU Jean-Marc,DAF,FIN,2004,208
SALOU Jean-Marc,DAF,FIN,2004,1113
SALOU Jean-Marc,DAF,FIN,2004,1124
SALOU Jean-Marc,DAF,FIN,2004,454
SALOU Jean-Marc,DAF,FIN,2006,950
SALOU Jean-Marc,DAF,FIN,2006,223
SALOU Jean-Marc,DAF,FIN,2006,1809
SALOU Jean-Marc,DAF,FIN,2006,2247
SALOU Jean-Marc,DAF,FIN,2006,3046
SALOU Jean-Marc,DAF,FIN,2006,4060
SALOU Jean-Marc,DAF,FIN,2006,38
SALOU Jean-Marc,DAF,FIN,2007,2657
SALOU Jean-Marc,DAF,FIN,2007,2297
SALOU Jean-Marc,DAF,FIN,2007,2735
SALOU Jean-Marc,DAF,FIN,2007,3383
SALOU Jean-Marc,DAF,FIN,2007,4963
SALOU Jean-Marc,DAF,FIN,2007,389
SALOU Jean-Marc,DAF,FIN,2007,2837
BERTRAND Ayse,DAF,INV,2007,694
BERTRAND Ayse,DAF,INV,2008,6102
DUFFIN Pamela,DAF,INV,2010,4130
DUFFIN Pamela,DAF,INV,2010,4586
DUFFIN Pamela,DAF,INV,2010,5918
DUFFIN Pamela,DAF,INV,2010,3757
LAROCHE Isabelle,DAF,INV,2007,2874
VALLEE Vanessa,DAF,PSD,2011,3660
RENERT-DJIAN Aline,DCD,,2010,1197
RENERT-DJIAN Aline,DCD,,2010,1728
RENERT-DJIAN Aline,DCD,,2010,3040
ERICSSON Fredrik,DCD,AAF,2011,2121
STEENSEN Suzanne,DCD,AAF,2011,754
STEENSEN Suzanne,DCD,AAF,2011,1401
STEENSEN Suzanne,DCD,AAF,2011,2104
BALBUENA Hilary,DCD,CM,2011,144
GRAVES Christine,DCD,CM,2010,3339
GRAVES Christine,DCD,CM,2010,4364
GRAVES Christine,DCD,CM,2010,7562
GRAVES Christine,DCD,CM,2011,3778
GRAVES Christine,DCD,CM,2011,1012
GRAVES Christine,DCD,CM,2011,1712
HUBER Isabel,DCD,CM,2010,5145
HUBER Isabel,DCD,CM,2010,6993
HUBER Isabel,DCD,CM,2010,8505
HUBER Isabel,DCD,CM,2010,7638
HUBER Isabel,DCD,CM,2010,9009
HUBER Isabel,DCD,CM,2010,9446
HUBER Isabel,DCD,CM,2010,6327
HUBER Isabel,DCD,CM,2010,1578
HUBER Isabel,DCD,CM,2010,3840
HUBER Isabel,DCD,CM,2011,6863
HUBER Isabel,DCD,CM,2011,4911
HUBER Isabel,DCD,CM,2011,7691
HUBER Isabel,DCD,CM,2011,6192
HUBER Isabel,DCD,CM,2011,6673
MIRAS Carola,DCD,CM,2006,197
MIRAS Carola,DCD,CM,2006,231
MIRAS Carola,DCD,CM,2008,3257
PARIS Madeleine,DCD,PEER,2004,961
PARIS Madeleine,DCD,PEER,2004,2973
DE CATHEU Juana,DCD,POL,2010,203
DE CATHEU Juana,DCD,POL,2010,9309
DE CATHEU Juana,DCD,POL,2010,2715
DENNIS Monica,DCD,POL,2010,67213
TRZECIAK-DUVAL Alexandra,DCD,POL,2010,1494
AHMAD Yasmin,DCD,STAT,2007,433
AHMAD Yasmin,DCD,STAT,2007,3410
AHMAD Yasmin,DCD,STAT,2008,274
AHMAD Yasmin,DCD,STAT,2010,39
AHMAD Yasmin,DCD,STAT,2010,3829
AHMAD Yasmin,DCD,STAT,2010,5712
BERNALDO Elena,DCD,STAT,2007,4719
BERNALDO Elena,DCD,STAT,2007,2575
GAVEAU ValÇrie,DCD,STAT,2004,2740
GAVEAU ValÇrie,DCD,STAT,2004,717
GROLLEAU Jean-Louis,DCD,STAT,2006,1089
HAMMOND Brian,DCD,STAT,2004,1555
HAMMOND Brian,DCD,STAT,2007,2595
NICHOLS AimÇe,DCD,STAT,2007,2488
NICHOLS AimÇe,DCD,STAT,2007,2490
PETRAS Rudolphe,DCD,STAT,2004,3483
PETRAS Rudolphe,DCD,STAT,2004,4378
PETRAS Rudolphe,DCD,STAT,2004,5067
PIEMONTE CÇcilia,DCD,STAT,2006,3383
PIEMONTE CÇcilia,DCD,STAT,2006,5047
PIEMONTE CÇcilia,DCD,STAT,2010,6484
PUHAKKA Meria,DCD,STAT,2010,1029
PUHAKKA Meria,DCD,STAT,2010,32
PUHAKKA Meria,DCD,STAT,2010,36
PUHAKKA Meria,DCD,STAT,2010,5748
PUHAKKA Meria,DCD,STAT,2010,6529
PUHAKKA Meria,DCD,STAT,2010,4089
PUHAKKA Meria,DCD,STAT,2010,5360
PUHAKKA Meria,DCD,STAT,2010,5900
PUHAKKA Meria,DCD,STAT,2010,6015
PUHAKKA Meria,DCD,STAT,2010,2774
PUHAKKA Meria,DCD,STAT,2010,1629
PUHAKKA Meria,DCD,STAT,2010,159
PUHAKKA Meria,DCD,STAT,2010,747
PUHAKKA Meria,DCD,STAT,2010,1969
PUHAKKA Meria,DCD,STAT,2010,1595
SUCHODOLSKI Andrzej,DCD,STAT,2006,2507
SUCHODOLSKI Andrzej,DCD,STAT,2006,597
SUCHODOLSKI Andrzej,DCD,STAT,2006,1718
SUCHODOLSKI Andrzej,DCD,STAT,2006,11680
SUCHODOLSKI Andrzej,DCD,STAT,2006,482
SUCHODOLSKI Andrzej,DCD,STAT,2006,1699
SUCHODOLSKI Andrzej,DCD,STAT,2006,5442
SUCHODOLSKI Andrzej,DCD,STAT,2006,8129
SUCHODOLSKI Andrzej,DCD,STAT,2006,13356
SUCHODOLSKI Andrzej,DCD,STAT,2006,8234
SUCHODOLSKI Andrzej,DCD,STAT,2006,793
SUCHODOLSKI Andrzej,DCD,STAT,2006,592
SUCHODOLSKI Andrzej,DCD,STAT,2006,493
SUCHODOLSKI Andrzej,DCD,STAT,2006,2773
SUCHODOLSKI Andrzej,DCD,STAT,2006,821
SUCHODOLSKI Andrzej,DCD,STAT,2006,1806
SUCHODOLSKI Andrzej,DCD,STAT,2006,454
SUCHODOLSKI Andrzej,DCD,STAT,2006,820
SUCHODOLSKI Andrzej,DCD,STAT,2006,361
SUCHODOLSKI Andrzej,DCD,STAT,2006,1525
SUCHODOLSKI Andrzej,DCD,STAT,2006,1516
SUCHODOLSKI Andrzej,DCD,STAT,2006,2150
SUCHODOLSKI Andrzej,DCD,STAT,2007,2118
SUCHODOLSKI Andrzej,DCD,STAT,2007,2253
SUCHODOLSKI Andrzej,DCD,STAT,2007,291
SUCHODOLSKI Andrzej,DCD,STAT,2007,378
SUCHODOLSKI Andrzej,DCD,STAT,2007,1479
SUCHODOLSKI Andrzej,DCD,STAT,2007,926
SUCHODOLSKI Andrzej,DCD,STAT,2007,830
TOCATLIAN Marc,DCD,STAT,2004,762
TOCATLIAN Marc,DCD,STAT,2004,859
TOCATLIAN Marc,DCD,STAT,2004,675
TOCATLIAN Marc,DCD,STAT,2004,1059
TOCATLIAN Marc,DCD,STAT,2004,2011
TOCATLIAN Marc,DCD,STAT,2006,742
TOCATLIAN Marc,DCD,STAT,2006,1793
TOCATLIAN Marc,DCD,STAT,2006,1629
TOCATLIAN Marc,DCD,STAT,2006,589
TOCATLIAN Marc,DCD,STAT,2006,2116
TOCATLIAN Marc,DCD,STAT,2006,3346
TOCATLIAN Marc,DCD,STAT,2006,4090
TOCATLIAN Marc,DCD,STAT,2006,1389
TOCATLIAN Marc,DCD,STAT,2006,1438
TOCATLIAN Marc,DCD,STAT,2006,193
TOCATLIAN Marc,DCD,STAT,2006,178
TOCATLIAN Marc,DCD,STAT,2006,745
TOCATLIAN Marc,DCD,STAT,2006,2145
TOCATLIAN Marc,DCD,STAT,2006,2677
TOCATLIAN Marc,DCD,STAT,2006,3292
TOCATLIAN Marc,DCD,STAT,2007,684
TOCATLIAN Marc,DCD,STAT,2007,3160
TOCATLIAN Marc,DCD,STAT,2007,3836
TOCATLIAN Marc,DCD,STAT,2007,1854
TOCATLIAN Marc,DCD,STAT,2007,2932
TOCATLIAN Marc,DCD,STAT,2007,1667
TOCATLIAN Marc,DCD,STAT,2007,1227
TOCATLIAN Marc,DCD,STAT,2008,772
TOCATLIAN Marc,DCD,STAT,2010,1295
TOCATLIAN Marc,DCD,STAT,2010,32
TOCATLIAN Marc,DCD,STAT,2010,2343
TOCATLIAN Marc,DCD,STAT,2010,2541
TOCATLIAN Marc,DCD,STAT,2011,1503
REISEN Helmut,DEV,,2011,3725
LLOYD Sandra,DEV,CMU,2008,1462
LLOYD Sandra,DEV,CMU,2008,694
LLOYD Sandra,DEV,CMU,2008,2059
